WL,Date,Borehole,,
170.361,6/1/2016,GW021266.3.4,,
171.248,7/1/2016,GW021266.3.4,,
171.839,8/1/2016,GW021266.3.4,,
173.698,9/1/2016,GW021266.3.4,,
174.623,10/1/2016,GW021266.3.4,,
153.554,11/1/2016,GW021266.3.4,,
142.8,12/1/2016,GW021266.3.4,,
139.95,1/1/2017,GW021266.3.4,,
138.518,2/1/2017,GW021266.3.4,,
146.203,3/1/2017,GW021266.3.4,,
165.532,4/1/2017,GW021266.3.4,,
170.481,5/1/2017,GW021266.3.4,,
171.709,6/1/2017,GW021266.3.4,,
171.972,7/1/2017,GW021266.3.4,,
173.117,8/1/2017,GW021266.3.4,,
166.357,9/1/2017,GW021266.3.4,,
144.829,10/1/2017,GW021266.3.4,,
142.109,11/1/2017,GW021266.3.4,,
141.296,12/1/2017,GW021266.3.4,,
135.554,1/1/2018,GW021266.3.4,,
131.778,2/1/2018,GW021266.3.4,,
154.396,3/1/2018,GW021266.3.4,,
166.096,4/1/2018,GW021266.3.4,,
170.145,5/1/2018,GW021266.3.4,,
171.932,6/1/2018,GW021266.3.4,,
150.71,7/1/2018,GW021266.3.4,,
138.601,8/1/2018,GW021266.3.4,,
132.782,9/1/2018,GW021266.3.4,,
129.939,10/1/2018,GW021266.3.4,,
130.906,11/1/2018,GW021266.3.4,,
132.301,12/1/2018,GW021266.3.4,,
128.286,1/1/2019,GW021266.3.4,,
126.613,2/1/2019,GW021266.3.4,,
138.705,3/1/2019,GW021266.3.4,,
159.247,4/1/2019,GW021266.3.4,,
166.063,5/1/2019,GW021266.3.4,,
168.404,6/1/2019,GW021266.3.4,,
161.064,7/1/2019,GW021266.3.4,,
154.931,8/1/2019,GW021266.3.4,,
144.618,9/1/2019,GW021266.3.4,,
134.083,10/1/2019,GW021266.3.4,,
131.668,11/1/2019,GW021266.3.4,,
131.48,12/1/2019,GW021266.3.4,,
132.929,1/1/2020,GW021266.3.4,,
155.033,2/1/2020,GW021266.3.4,,
163.835,3/1/2020,GW021266.3.4,,
167.807,4/1/2020,GW021266.3.4,,
170.037,5/1/2020,GW021266.3.4,,
170.726,6/1/2020,GW021266.3.4,,
154.781,7/1/2020,GW021266.3.4,,
148.446,8/1/2020,GW021266.3.4,,
145.512,9/1/2020,GW021266.3.4,,
140.823,10/1/2020,GW021266.3.4,,
150.032,11/1/2020,GW021266.3.4,,
150.401,12/1/2020,GW021266.3.4,,
157.256,1/1/2021,GW021266.3.4,,
160.348,2/1/2021,GW021266.3.4,,
164.401,3/1/2021,GW021266.3.4,,
168.704,4/1/2021,GW021266.3.4,,
170.872,5/1/2021,GW021266.3.4,,
172.103,6/1/2021,GW021266.3.4,,
172.897,7/1/2021,GW021266.3.4,,
173.402,8/1/2021,GW021266.3.4,,
173.757,9/1/2021,GW021266.3.4,,
174.007,10/1/2021,GW021266.3.4,,
174.368,11/1/2021,GW021266.3.4,,
174.768,12/1/2021,GW021266.3.4,,
173.645,1/1/2022,GW021266.3.4,,
172.862,2/1/2022,GW021266.3.4,,
172.598,3/1/2022,GW021266.3.4,,
174.033,4/1/2022,GW021266.3.4,,
174.979,5/1/2022,GW021266.3.4,,
164.905,2/1/2010,GW025045.2.1,,
164.847,3/1/2010,GW025045.2.1,,
164.856,4/1/2010,GW025045.2.1,,
164.925,5/1/2010,GW025045.2.1,,
164.992,6/1/2010,GW025045.2.1,,
165.045,7/1/2010,GW025045.2.1,,
165.09,8/1/2010,GW025045.2.1,,
165.138,9/1/2010,GW025045.2.1,,
165.194,10/1/2010,GW025045.2.1,,
165.249,11/1/2010,GW025045.2.1,,
165.321,12/1/2010,GW025045.2.1,,
165.348,1/1/2011,GW025045.2.1,,
165.309,2/1/2011,GW025045.2.1,,
165.287,3/1/2011,GW025045.2.1,,
165.379,4/1/2011,GW025045.2.1,,
165.484,5/1/2011,GW025045.2.1,,
165.577,6/1/2011,GW025045.2.1,,
165.686,7/1/2011,GW025045.2.1,,
165.63,8/1/2011,GW025045.2.1,,
165.581,9/1/2011,GW025045.2.1,,
165.651,10/1/2011,GW025045.2.1,,
165.756,11/1/2011,GW025045.2.1,,
165.861,12/1/2011,GW025045.2.1,,
165.87,1/1/2012,GW025045.2.1,,
165.873,2/1/2012,GW025045.2.1,,
165.879,3/1/2012,GW025045.2.1,,
166.022,4/1/2012,GW025045.2.1,,
166.203,5/1/2012,GW025045.2.1,,
166.429,6/1/2012,GW025045.2.1,,
166.643,7/1/2012,GW025045.2.1,,
166.871,8/1/2012,GW025045.2.1,,
166.971,9/1/2012,GW025045.2.1,,
166.931,10/1/2012,GW025045.2.1,,
166.872,11/1/2012,GW025045.2.1,,
166.694,12/1/2012,GW025045.2.1,,
166.398,1/1/2013,GW025045.2.1,,
166.317,2/1/2013,GW025045.2.1,,
166.403,3/1/2013,GW025045.2.1,,
166.565,4/1/2013,GW025045.2.1,,
166.737,5/1/2013,GW025045.2.1,,
166.944,6/1/2013,GW025045.2.1,,
167.091,7/1/2013,GW025045.2.1,,
167.134,8/1/2013,GW025045.2.1,,
167.184,9/1/2013,GW025045.2.1,,
166.701,10/1/2013,GW025045.2.1,,
166.606,11/1/2013,GW025045.2.1,,
166.359,12/1/2013,GW025045.2.1,,
165.886,1/1/2014,GW025045.2.1,,
165.677,2/1/2014,GW025045.2.1,,
165.627,3/1/2014,GW025045.2.1,,
165.723,4/1/2014,GW025045.2.1,,
165.837,5/1/2014,GW025045.2.1,,
165.917,6/1/2014,GW025045.2.1,,
165.976,7/1/2014,GW025045.2.1,,
165.899,8/1/2014,GW025045.2.1,,
165.9,9/1/2014,GW025045.2.1,,
165.704,10/1/2014,GW025045.2.1,,
165.492,11/1/2014,GW025045.2.1,,
165.3,12/1/2014,GW025045.2.1,,
165.097,1/1/2015,GW025045.2.1,,
164.935,2/1/2015,GW025045.2.1,,
164.83,3/1/2015,GW025045.2.1,,
164.845,4/1/2015,GW025045.2.1,,
164.907,5/1/2015,GW025045.2.1,,
164.982,6/1/2015,GW025045.2.1,,
165.091,7/1/2015,GW025045.2.1,,
165.184,8/1/2015,GW025045.2.1,,
165.215,9/1/2015,GW025045.2.1,,
165.145,10/1/2015,GW025045.2.1,,
165.03,11/1/2015,GW025045.2.1,,
164.945,12/1/2015,GW025045.2.1,,
164.781,1/1/2016,GW025045.2.1,,
164.697,2/1/2016,GW025045.2.1,,
164.65,3/1/2016,GW025045.2.1,,
164.66,4/1/2016,GW025045.2.1,,
164.707,5/1/2016,GW025045.2.1,,
164.752,6/1/2016,GW025045.2.1,,
164.859,7/1/2016,GW025045.2.1,,
164.901,8/1/2016,GW025045.2.1,,
164.933,9/1/2016,GW025045.2.1,,
164.98,10/1/2016,GW025045.2.1,,
165.044,11/1/2016,GW025045.2.1,,
165.085,12/1/2016,GW025045.2.1,,
165.098,1/1/2017,GW025045.2.1,,
165.092,2/1/2017,GW025045.2.1,,
165.103,3/1/2017,GW025045.2.1,,
165.131,4/1/2017,GW025045.2.1,,
165.152,5/1/2017,GW025045.2.1,,
165.184,6/1/2017,GW025045.2.1,,
165.235,7/1/2017,GW025045.2.1,,
165.288,8/1/2017,GW025045.2.1,,
165.246,9/1/2017,GW025045.2.1,,
165.167,10/1/2017,GW025045.2.1,,
165.118,11/1/2017,GW025045.2.1,,
165.101,12/1/2017,GW025045.2.1,,
164.858,1/1/2018,GW025045.2.1,,
164.632,2/1/2018,GW025045.2.1,,
164.536,3/1/2018,GW025045.2.1,,
164.533,4/1/2018,GW025045.2.1,,
164.576,5/1/2018,GW025045.2.1,,
164.597,6/1/2018,GW025045.2.1,,
164.61,7/1/2018,GW025045.2.1,,
164.664,8/1/2018,GW025045.2.1,,
164.691,9/1/2018,GW025045.2.1,,
164.578,10/1/2018,GW025045.2.1,,
164.464,11/1/2018,GW025045.2.1,,
164.37,12/1/2018,GW025045.2.1,,
164.272,1/1/2019,GW025045.2.1,,
164.148,2/1/2019,GW025045.2.1,,
164.023,3/1/2019,GW025045.2.1,,
163.944,4/1/2019,GW025045.2.1,,
163.938,5/1/2019,GW025045.2.1,,
163.965,6/1/2019,GW025045.2.1,,
164,7/1/2019,GW025045.2.1,,
163.972,8/1/2019,GW025045.2.1,,
163.931,9/1/2019,GW025045.2.1,,
163.913,10/1/2019,GW025045.2.1,,
163.848,11/1/2019,GW025045.2.1,,
163.771,12/1/2019,GW025045.2.1,,
163.679,1/1/2020,GW025045.2.1,,
163.572,2/1/2020,GW025045.2.1,,
163.489,3/1/2020,GW025045.2.1,,
163.461,4/1/2020,GW025045.2.1,,
163.476,5/1/2020,GW025045.2.1,,
163.509,6/1/2020,GW025045.2.1,,
163.546,7/1/2020,GW025045.2.1,,
163.587,8/1/2020,GW025045.2.1,,
163.61,9/1/2020,GW025045.2.1,,
163.556,10/1/2020,GW025045.2.1,,
163.497,11/1/2020,GW025045.2.1,,
163.456,12/1/2020,GW025045.2.1,,
163.432,1/1/2021,GW025045.2.1,,
163.415,2/1/2021,GW025045.2.1,,
163.386,3/1/2021,GW025045.2.1,,
163.377,4/1/2021,GW025045.2.1,,
