Borehole,Elevation(m) -AHD,Lat,Lon,GW-AHD(12/06/22),"Total_Thickness (m)",num_Lithology_type,total_layer,nl_soil,tn_soil,nl_clay,tn_clay,nl_gravel,tn_gravel,nl_sand,tn_sand,nl_shale,tn_shale,nl_topsoil,tn_topsoil,nl_sandy_clay,tn_sandy_clay,nl_sandstone,tn_sandstone,nl_ironstone,tn_ironstone,nl_rock,tn_rock,nl_bedrock,tn_bedrock,nl_boulders,tn_boulders,nl_slate,tn_slate,nl_basalt,tn_basalt,nl_conglomerate,tn_conglomerate,nl_calcarenite,tn_calcarenite,nl_clayey_sand,tn_clayey_sand,nl_loam,tn_loam,nl_siltstone,tn_siltstone,nl_granite,tn_granite,nl_sandy_clay_with_gravel,tn_sandy_clay_with_gravel,nl_coal,tn_coal,nl_claystone,tn_claystone,nl_volcanic,tn_volcanic,nl_silt,tn_slit,nl_colluvium,tn_colluvium,nl_rhyolite,tn_rhyolite,nl_tuff,tn_tuff,nl_alluvium,tn_alluvium,nl_sandy_shale,tn_sandy_shale,nl_mudstone,tn_mudstone,nl_silty_clay,tn_silty_clay,nl_unknown,tn_unknown
GW030121,211.64,30.30783333,149.77247222,202.1860,114.3,4,43,,,15,27.73,22,67.97,4,9.46,,,,,,,2,9.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW030129,247.97,30.52269444,150.05247222,241.3110,62.48,5,29,,,16,35.65,5,10.66,,,,,1,0.61,6,12.81,,,1,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW030130,16.41,30.51408333,150.05505556,241.0650,103.02,6,46,,,20,53.04,12,16.47,,,,,1,0.91,10,27.42,,,,,2,2.74,1,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW030131,250.73,30.50375,150.05608333,245.5430,21.95,5,10,,,4,13.42,,,1,0.31,2,3.97,1,0.3,2,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW030136,373.6,31.08119444,150.91305556,366.6460,15.24,3,8,,,6,12.04,,,,,,,,,,,,,,,,,,,1,1.37,1,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW030223,184.53,29.99233333,149.48780556,139.4500,129.54,4,28,1,1.52,9,67.99,17,57.9,,,,,,,,,,,,,1,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW030306,280.8,30.98733333,150.44216667,269.1090,100.58,2,27,,,7,19.82,20,83.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW030310,207.16,30.29647222,149.66130556,193.3050,117.3,5,36,,,15,60.9,16,45.4,3,5.7,1,4.1,,,,,1,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW030344,15.65,30.91330556,150.29438889,252.1770,142.65,5,24,,,13,94.8,3,20.11,6,54.56,1,6.1,,,,,,,,,,,,,,,,,1,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW030450,202.43,30.26244444,149.59433333,180.9300,117,5,45,,,20,53.5,5,16,18,44.5,,,1,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW030468,240.39,30.66869444,150.05419444,232.2010,45.7,3,3,,,1,7,,,1,21.7,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW036005,234.01,30.5575,149.99169444,223.0090,101,5,25,,,8,32,8,43.3,7,17.7,,,1,1,,,,,,,,,,,,,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW036045,175.73,29.94055556,149.32388889,134.1390,121.92,5,16,,,9,99.06,2,10.67,3,7.62,1,3.05,1,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW036092,238.69,30.66638889,150.06144444,232.0710,30.78,6,8,,,3,7.63,1,16.76,1,3.05,,,1,1.52,,,,,,,1,0.91,1,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW036154,173.12,30.17422222,149.12727778,147.0270,68.58,5,16,,,7,34.15,4,24.38,,,,,1,1.52,2,3.96,2,4.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW036186,239.07,30.53530556,150.02294444,231.4950,67.06,4,9,,,5,50.3,1,7.62,,,,,,,,,,,,,2,7.62,,,,,,,,,,,,,,,1,7.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW036187,261.32,30.53358333,150.03347222,234.6890,42.67,4,14,,,7,27.44,4,10.66,,,,,1,1.52,,,,,,,2,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW036213,271.9,31.07105556,150.37416667,264.4420,44.2,3,20,,,14,53.9,,,4,20.5,,,,,,,,,,,,,,,,,,,,,2,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW036215,15.51,31.02391667,150.41008333,262.6200,132.9,4,50,,,30,96.4,11,22.6,8,19.2,1,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW036218,169.3,30.03413889,149.15363889,130.6380,73.15,5,13,,,6,40.53,3,18.91,1,4.57,,,1,1.52,,,,,2,7.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW036224,165.4,29.85772222,149.14716667,132.0640,102.11,5,19,,,9,52.45,6,40.52,1,4.57,,,1,1.52,,,2,3.05,1,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW036249,160.7,30.04844444,148.96311111,132.9110,70.1,5,11,,,6,60.35,2,11.28,1,12.19,,,1,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
