Date,residual,fitted
2018-01-03,-0.008331299,0.9647577
2018-01-04,-0.006958008,0.96412635
2018-01-05,-0.006378174,0.963804
2018-01-06,-0.00592041,0.9635217
2018-01-07,-0.0057678223,0.9633987
2018-01-08,-0.0056762695,0.96327186
2018-01-09,-0.005279541,0.9631603
2018-01-10,-0.004852295,0.96296287
2018-01-11,-0.004638672,0.9627559
2018-01-12,-0.0056152344,0.9631889
2018-01-13,-0.006286621,0.9635494
2018-01-14,-0.00579834,0.9632251
2018-01-15,-0.0045166016,0.96254516
2018-01-16,-0.0035095215,0.96215606
2018-01-17,-0.003326416,0.9618623
2018-01-18,-0.0028381348,0.9617088
2018-01-19,-0.0030517578,0.9617431
2018-01-20,-0.0034484863,0.96172595
2018-01-21,-0.0032043457,0.9616077
2018-01-22,-0.00289917,0.9614923
2018-01-23,-0.0026245117,0.9613302
2018-01-24,-0.0024719238,0.96116424
2018-01-25,-0.001953125,0.9610145
2018-01-26,-0.0020141602,0.96079516
2018-01-27,-0.0018615723,0.960758
2018-01-28,-0.0018005371,0.9605882
2018-01-29,-0.0015563965,0.96051097
2018-01-30,-0.001953125,0.96062446
2018-01-31,-0.0018920898,0.9606273
2018-02-01,-0.00048828125,0.96003985
2018-02-02,-6.1035156e-05,0.959625
2018-02-03,0.0004272461,0.95930076
2018-02-04,0.0010681152,0.9589822
2018-02-05,0.0010986328,0.9588983
2018-02-06,0.0010375977,0.9588516
2018-02-07,0.0015258789,0.958657
2018-02-08,0.0014038086,0.95860744
2018-02-09,0.0010986328,0.95872474
2018-02-10,0.000579834,0.9589622
2018-02-11,0.00021362305,0.95907474
2018-02-12,0.000579834,0.9588764
2018-02-13,0.0013122559,0.9586036
2018-02-14,0.0015563965,0.9583986
2018-02-15,0.0020141602,0.9581163
2018-02-16,0.001953125,0.95806956
2018-02-17,0.0020751953,0.9578588
2018-02-18,0.0022277832,0.95777965
2018-02-19,0.0021362305,0.9578197
2018-02-20,0.0021972656,0.9578216
2018-02-21,0.0025024414,0.9575317
2018-02-22,0.0027770996,0.9574573
2018-02-23,0.0024414062,0.9574001
2018-02-24,0.0025939941,0.9574497
2018-02-25,0.0018920898,0.95776534
2018-02-26,0.0013122559,0.95812964
2018-02-27,0.001739502,0.9576719
2018-02-28,0.0018005371,0.9576309
2018-03-01,0.0018310547,0.95771956
2018-03-02,0.002166748,0.9575603
2018-03-03,0.0023498535,0.9574821
2018-03-04,0.0021972656,0.957216
2018-03-05,0.0022583008,0.9572189
2018-03-06,0.0029296875,0.9568584
2018-03-07,0.003479004,0.9564941
2018-03-08,0.003692627,0.9562862
2018-03-09,0.0038757324,0.9560783
2018-03-10,0.004333496,0.9559257
2018-03-11,0.003967285,0.9559963
2018-03-12,0.0038146973,0.9562061
2018-03-13,0.003753662,0.95611644
2018-03-14,0.0043945312,0.9558418
2018-03-15,0.004119873,0.9559591
2018-03-16,0.004852295,0.9559057
2018-03-17,0.005432129,0.955714
2018-03-18,0.0056762695,0.95568156
2018-03-19,0.0060424805,0.9555681
2018-03-20,0.0067443848,0.95533824
2018-03-21,0.007659912,0.95498824
2018-03-22,0.008239746,0.9548414
2018-03-23,0.008483887,0.95485187
2018-03-24,0.00869751,0.9549482
2018-03-25,0.008605957,0.95524573
2018-03-26,0.008636475,0.9554632
2018-03-27,0.009124756,0.95509505
2018-03-28,0.010040283,0.9548309
2018-03-29,0.010437012,0.9548061
2018-03-30,0.01071167,0.9547746
2018-03-31,0.011413574,0.95458865
2018-04-01,0.011993408,0.9544847
2018-04-02,0.0121154785,0.95444655
2018-04-03,0.012756348,0.9543874
2018-04-04,0.013122559,0.954273
2018-04-05,0.013641357,0.95425296
2018-04-06,0.014007568,0.9541395
2018-04-07,0.014801025,0.95391345
2018-04-08,0.01550293,0.9537704
2018-04-09,0.01586914,0.95374465
2018-04-10,0.016235352,0.95362926
2018-04-11,0.01586914,0.9534414
2018-04-12,0.01739502,0.9534633
2018-04-13,0.017425537,0.9536388
2018-04-14,0.01663208,0.9539926
2018-04-15,0.017089844,0.9539697
2018-04-16,0.018310547,0.95354724
2018-04-17,0.019317627,0.95320106
2018-04-18,0.020263672,0.9529836
2018-04-19,0.020477295,0.9529493
2018-04-20,0.020843506,0.9529655
2018-04-21,0.021209717,0.952852
2018-04-22,0.02178955,0.95274615
2018-04-23,0.02218628,0.9527633
2018-04-24,0.022369385,0.9528148
2018-04-25,0.02255249,0.9529512
2018-04-26,0.022735596,0.95291686
2018-04-27,0.023956299,0.9525373
2018-04-28,0.024658203,0.95226645
2018-04-29,0.025115967,0.9521549
2018-04-30,0.025634766,0.9520042
2018-05-01,0.026519775,0.9519136
2018-05-02,0.026397705,0.95208144
2018-05-03,0.02645874,0.95221305
2018-05-04,0.026885986,0.95231795
2018-05-05,0.028381348,0.95169234
2018-05-06,0.029266357,0.95147014
2018-05-07,0.029205322,0.9516399
2018-05-08,0.029022217,0.95180583
2018-05-09,0.029144287,0.9518974
2018-05-10,0.028533936,0.9523027
2018-05-11,0.028869629,0.95223117
2018-05-12,0.029510498,0.9522159
2018-05-13,0.03048706,0.95182586
2018-05-14,0.03152466,0.95156837
2018-05-15,0.031829834,0.95153785
2018-05-16,0.032562256,0.9514406
2018-05-17,0.032836914,0.9513643
2018-05-18,0.033050537,0.95150447
2018-05-19,0.033294678,0.95151496
2018-05-20,0.033447266,0.95152164
2018-05-21,0.033996582,0.95137286
2018-05-22,0.0345459,0.95143867
2018-05-23,0.034851074,0.9513233
2018-05-24,0.035186768,0.9513376
2018-05-25,0.03591919,0.95119643
2018-05-26,0.03656006,0.9510076
2018-05-27,0.036712646,0.9510572
2018-05-28,0.03652954,0.9512222
2018-05-29,0.03652954,0.9514816
2018-05-30,0.036376953,0.9515617
2018-05-31,0.037384033,0.9513891
2018-06-01,0.03756714,0.95135474
2018-06-02,0.037841797,0.9515388
2018-06-03,0.037750244,0.9516647
2018-06-04,0.037902832,0.9516275
2018-06-05,0.038879395,0.9513242
2018-06-06,0.039764404,0.95106006
2018-06-07,0.04046631,0.9509599
2018-06-08,0.040496826,0.9510925
2018-06-09,0.04006958,0.9513757
2018-06-10,0.040039062,0.95154643
2018-06-11,0.039978027,0.9516313
2018-06-12,0.039215088,0.9520738
2018-06-13,0.039245605,0.9522474
2018-06-14,0.040008545,0.9519346
2018-06-15,0.04119873,0.9517267
2018-06-16,0.041534424,0.951699
2018-06-17,0.04156494,0.9517858
2018-06-18,0.041931152,0.95171523
2018-06-19,0.042633057,0.95148635
2018-06-20,0.043640137,0.95126987
2018-06-21,0.0440979,0.95120406
2018-06-22,0.044525146,0.95117927
2018-06-23,0.044403076,0.9512603
2018-06-24,0.044708252,0.95131564
2018-06-25,0.04534912,0.9511707
2018-06-26,0.046020508,0.95098376
2018-06-27,0.046020508,0.9511144
2018-06-28,0.045440674,0.9514787
2018-06-29,0.058044434,0.94666266
2018-06-30,0.053222656,0.94835544
2018-07-01,0.04937744,0.9496591
2018-07-02,0.04763794,0.95014644
2018-07-03,0.046325684,0.9503925
2018-07-04,0.045440674,0.9506128
2018-07-05,0.044281006,0.9509523
2018-07-06,0.042266846,0.95147014
2018-07-07,0.041381836,0.9515617
2018-07-08,0.04220581,0.9512079
2018-07-09,0.04208374,0.95102954
2018-07-10,0.04159546,0.9508798
2018-07-11,0.04107666,0.9510734
2018-07-12,0.040161133,0.9512918
2018-07-13,0.039276123,0.9513414
2018-07-14,0.038848877,0.9513233
2018-07-15,0.038238525,0.9514253
2018-07-16,0.03744507,0.95152164
2018-07-17,0.03729248,0.9512994
2018-07-18,0.0368042,0.9512346
2018-07-19,0.0362854,0.9512994
2018-07-20,0.035064697,0.95159125
2018-07-21,0.035980225,0.95098186
2018-07-22,0.035736084,0.95092845
2018-07-23,0.03491211,0.9511087
2018-07-24,0.034118652,0.95129085
2018-07-25,0.033569336,0.95122313
2018-07-26,0.03314209,0.95112014
2018-07-27,0.032287598,0.9512994
2018-07-28,0.03173828,0.95127463
2018-07-29,0.030914307,0.95154166
2018-07-30,0.031188965,0.9511211
2018-07-31,0.031097412,0.9509008
2018-08-01,0.030822754,0.95084643
2018-08-02,0.03048706,0.9507015
2018-08-03,0.029541016,0.95096374
2018-08-04,0.028778076,0.9510162
2018-08-05,0.02835083,0.95099807
2018-08-06,0.026855469,0.95149493
2018-08-07,0.02658081,0.95135474
2018-08-08,0.02670288,0.95105815
2018-08-09,0.026794434,0.9507148
2018-08-10,0.026641846,0.95053554
2018-08-11,0.025665283,0.9510124
2018-08-12,0.025634766,0.95092463
2018-08-13,0.02645874,0.950485
2018-08-14,0.026885986,0.9504163
2018-08-15,0.025817871,0.95075965
2018-08-16,0.02520752,0.9511659
2018-08-17,0.025299072,0.9511268
2018-08-18,0.025238037,0.9510801
2018-08-19,0.025726318,0.95097136
2018-08-20,0.025878906,0.95071864
2018-08-21,0.025848389,0.9507606
2018-08-22,0.025634766,0.95092463
2018-08-23,0.025817871,0.9508035
2018-08-24,0.026123047,0.9506433
2018-08-25,0.026123047,0.9506433
2018-08-26,0.02532959,0.951041
2018-08-27,0.02508545,0.95102954
2018-08-28,0.025482178,0.95091796
2018-08-29,0.02520752,0.95090556
2018-08-30,0.025756836,0.9508436
2018-08-31,0.024291992,0.95138526
2018-09-01,0.024536133,0.95130897
2018-09-02,0.025268555,0.9508655
2018-09-03,0.025909424,0.950547
2018-09-04,0.025817871,0.95067286
2018-09-05,0.02557373,0.9507482
2018-09-06,0.024932861,0.95106673
2018-09-07,0.023956299,0.9515426
2018-09-08,0.023742676,0.95170665
2018-09-09,0.02468872,0.951185
2018-09-10,0.025054932,0.950856
2018-09-11,0.025054932,0.95094275
2018-09-12,0.024597168,0.9511392
2018-09-13,0.024749756,0.9511459
2018-09-14,0.02456665,0.9510944
2018-09-15,0.023864746,0.9514539
2018-09-16,0.024597168,0.95109534
2018-09-17,0.025634766,0.9506223
2018-09-18,0.02532959,0.95073867
2018-09-19,0.024475098,0.9511335
2018-09-20,0.025054932,0.95081306
2018-09-21,0.026763916,0.9501512
2018-09-22,0.026733398,0.94997764
2018-09-23,0.02658081,0.9501436
2018-09-24,0.026397705,0.95004916
2018-09-25,0.02658081,0.95005774
2018-09-26,0.025878906,0.95037246
2018-09-27,0.025756836,0.9504545
2018-09-28,0.0256958,0.9504945
2018-09-29,0.025787354,0.9503257
2018-09-30,0.026763916,0.94976306
2018-10-01,0.027282715,0.9496114
2018-10-02,0.026855469,0.9496801
2018-10-03,0.026641846,0.94997287
2018-10-04,0.026000977,0.9502485
2018-10-05,0.026397705,0.95004916
2018-10-06,0.026763916,0.9498489
2018-10-07,0.027282715,0.9497421
2018-10-08,0.026519775,0.9498384
2018-10-09,0.026397705,0.95000625
2018-10-10,0.026275635,0.9500444
2018-10-11,0.02670288,0.949846
2018-10-12,0.027191162,0.9495218
2018-10-13,0.027557373,0.9494512
2018-10-14,0.027557373,0.9493215
2018-10-15,0.027679443,0.94928336
2018-10-16,0.027282715,0.949353
2018-10-17,0.026550293,0.9497545
2018-10-18,0.0256958,0.95032096
2018-10-19,0.02545166,0.95022464
2018-10-20,0.025299072,0.95034766
2018-10-21,0.02520752,0.95038676
2018-10-22,0.025268555,0.9502609
2018-10-23,0.02532959,0.950176
2018-10-24,0.026062012,0.9500358
2018-10-25,0.02633667,0.9498308
2018-10-26,0.026428223,0.9498346
2018-10-27,0.026184082,0.949867
2018-10-28,0.026306152,0.949744
2018-10-29,0.026733398,0.9495027
2018-10-30,0.027496338,0.94914603
2018-10-31,0.027618408,0.94902205
2018-11-01,0.028137207,0.9487846
2018-11-02,0.02810669,0.94873977
2018-11-03,0.027893066,0.9489038
2018-11-04,0.027618408,0.94902205
2018-11-05,0.027404785,0.9490125
2018-11-06,0.027557373,0.9490621
2018-11-07,0.027770996,0.94902873
2018-11-08,0.028259277,0.9486606
2018-11-09,0.0289917,0.94813037
2018-11-10,0.028961182,0.94817233
2018-11-11,0.029327393,0.9479282
2018-11-12,0.029907227,0.94773746
